epoch	prec1_T	prec1_B
0	31.457565307617188	69.92620086669922
1	37.63837814331055	78.2287826538086
2	42.06642150878906	82.01107025146484
3	44.188194274902344	84.50184631347656
4	47.23247146606445	84.50184631347656
5	48.24723434448242	88.46863555908203
6	51.93727111816406	87.26937103271484
7	54.2435417175293	90.03690338134766
8	55.90406036376953	91.42066192626953
9	55.90406036376953	91.0516586303711
10	56.918819427490234	89.57564544677734
11	59.132843017578125	92.80442810058594
12	59.40959548950195	91.97417449951172
13	59.040592193603516	93.3579330444336
14	61.25461196899414	94.09593963623047
15	63.1918830871582	94.37269592285156
16	65.129150390625	94.37269592285156
17	65.03690338134766	94.74169921875
18	63.099632263183594	94.4649429321289
19	64.76014709472656	95.47970581054688
20	64.29889678955078	95.57196044921875
21	66.97416687011719	95.57196044921875
22	63.92988967895508	95.47970581054688
23	67.89668273925781	95.84870910644531
24	66.78966522216797	96.03321075439453
