epoch	prec1_T	prec1_B
0	72.45581817626953	4.570383548736572
1	88.72638702392578	6.764167785644531
2	90.43266296386719	7.190737247467041
3	93.41864013671875	7.0079216957092285
4	93.9061508178711	9.750151634216309
5	94.51553344726562	10.90798282623291
6	94.33271789550781	12.309566497802734
7	95.3686752319336	12.55332088470459
8	95.42961120605469	15.84399700164795
9	95.5514907836914	16.39244270324707
10	95.67337036132812	19.19561195373535
11	95.5514907836914	21.694087982177734
12	95.42961120605469	21.876903533935547
