epoch	prec1_B	prec5_B
0	3.0	8.0
1	2.0	6.0
2	7.0	8.0
3	5.0	8.0
4	3.0	9.0
5	3.0	12.0
6	6.0	10.0
7	7.0	13.0
8	8.0	14.0
9	7.0	15.0
10	7.0	14.0
11	11.0	19.0
12	8.0	15.0
13	8.0	14.0
14	9.0	11.0
15	14.0	20.0
16	12.0	18.0
17	11.0	19.0
18	14.0	20.0
19	17.0	28.0
20	17.0	24.0
21	10.0	18.0
22	19.0	27.0
23	21.0	26.0
24	15.0	26.0
25	17.0	28.0
26	20.0	31.0
27	19.0	27.0
28	15.0	27.0
29	22.0	31.0
30	15.0	26.0
31	19.0	33.0
32	24.0	30.0
33	20.0	32.0
34	22.0	37.0
35	20.0	30.0
36	22.0	31.0
37	24.0	35.0
38	17.0	29.0
39	18.0	34.0
40	19.0	37.0
41	22.0	33.0
42	25.0	39.0
43	32.0	41.0
44	29.0	45.0
45	25.0	37.0
46	28.0	38.0
47	30.0	41.0
48	24.0	43.0
49	30.0	51.0
50	24.0	40.0
51	33.0	45.0
52	34.0	47.0
53	20.0	36.0
54	24.0	34.0
55	30.0	44.0
56	25.0	40.0
57	35.0	51.0
58	37.0	46.0
59	25.0	40.0
60	32.0	50.0
61	24.0	35.0
62	29.0	45.0
63	34.0	42.0
64	37.0	48.0
65	37.0	50.0
66	27.0	41.0
67	34.0	50.0
68	30.0	43.0
69	27.0	43.0
70	33.0	45.0
71	33.0	44.0
72	34.0	48.0
73	25.0	38.0
74	31.0	43.0
75	34.0	51.0
76	39.0	61.0
77	35.0	51.0
78	39.0	51.0
79	30.0	49.0
80	31.0	42.0
81	33.0	52.0
82	41.0	52.0
83	30.0	47.0
84	36.0	52.0
85	32.0	45.0
86	38.0	53.0
87	33.0	46.0
88	35.0	49.0
89	39.0	53.0
90	27.0	43.0
91	39.0	52.0
92	34.0	51.0
93	40.0	51.0
94	48.0	61.0
95	45.0	58.0
96	32.0	45.0
97	31.0	47.0
98	32.0	47.0
99	38.0	55.0
