epoch	prec1_T	prec5_T
0	14.0	32.0
1	27.0	59.0
2	31.0	61.0
3	46.0	78.0
4	58.0	80.0
5	46.0	77.0
6	55.0	77.0
7	57.0	76.0
8	47.0	77.0
9	62.0	84.0
10	62.0	79.0
11	58.0	78.0
12	62.0	80.0
13	67.0	84.0
14	58.0	78.0
15	66.0	84.0
16	68.0	86.0
17	70.0	89.0
18	68.0	86.0
19	64.0	85.0
20	72.0	86.0
21	75.0	88.0
22	63.0	82.0
23	71.0	83.0
24	71.0	90.0
25	68.0	86.0
26	70.0	92.0
27	65.0	90.0
28	77.0	93.0
29	75.0	92.0
30	59.0	84.0
31	74.0	85.0
32	74.0	92.0
33	64.0	85.0
34	78.0	92.0
35	75.0	93.0
36	72.0	87.0
37	72.0	84.0
38	73.0	91.0
39	68.0	83.0
40	70.0	87.0
41	83.0	92.0
42	66.0	84.0
43	72.0	92.0
44	78.0	96.0
45	71.0	85.0
46	75.0	93.0
47	78.0	88.0
48	73.0	89.0
49	76.0	92.0
50	71.0	90.0
51	66.0	88.0
52	71.0	90.0
53	73.0	88.0
54	82.0	94.0
55	72.0	93.0
56	75.0	90.0
57	68.0	89.0
58	73.0	89.0
59	69.0	87.0
60	75.0	89.0
61	69.0	85.0
62	73.0	89.0
63	82.0	93.0
64	76.0	90.0
65	72.0	92.0
66	81.0	94.0
67	77.0	91.0
68	77.0	90.0
69	72.0	85.0
70	72.0	86.0
71	75.0	91.0
72	79.0	95.0
73	64.0	83.0
74	81.0	92.0
75	77.0	89.0
76	72.0	85.0
77	83.0	93.0
78	71.0	85.0
79	81.0	91.0
80	75.0	86.0
81	79.0	88.0
82	79.0	90.0
83	78.0	91.0
84	80.0	90.0
85	80.0	90.0
86	76.0	90.0
87	74.0	94.0
88	81.0	86.0
89	79.0	92.0
90	77.0	90.0
91	79.0	92.0
92	77.0	88.0
93	73.0	85.0
94	84.0	94.0
95	80.0	93.0
96	74.0	90.0
97	72.0	92.0
98	76.0	92.0
99	81.0	90.0
