epoch	prec1_T	prec5_T
0	16.666667938232422	32.66666793823242
1	29.666667938232422	53.333335876464844
2	37.66666793823242	70.33333587646484
3	53.66666793823242	81.0
4	63.0	85.0
5	68.33333587646484	85.66667175292969
6	68.0	89.66667175292969
7	65.0	83.66667175292969
8	69.33333587646484	86.66667175292969
9	71.66667175292969	88.0
10	72.33333587646484	88.0
11	76.0	91.0
12	76.33333587646484	92.0
13	73.66667175292969	90.33333587646484
14	70.0	88.66667175292969
15	71.33333587646484	88.33333587646484
16	73.66667175292969	90.66667175292969
17	80.0	91.33333587646484
18	77.66667175292969	91.66667175292969
19	80.66667175292969	93.66667175292969
20	76.0	88.33333587646484
21	75.66667175292969	91.66667175292969
22	77.66667175292969	93.0
23	76.0	89.66667175292969
24	73.66667175292969	89.0
25	77.0	92.33333587646484
26	79.66667175292969	90.0
27	76.33333587646484	90.0
28	76.33333587646484	92.0
29	75.66667175292969	91.33333587646484
30	80.33333587646484	93.66667175292969
31	82.33333587646484	93.33333587646484
32	78.33333587646484	92.33333587646484
33	83.33333587646484	93.33333587646484
34	80.33333587646484	90.33333587646484
35	82.0	92.0
36	83.0	93.33333587646484
37	78.33333587646484	92.0
38	80.0	92.33333587646484
39	79.33333587646484	91.0
40	78.33333587646484	94.0
41	81.33333587646484	93.66667175292969
42	79.33333587646484	92.66667175292969
43	78.0	90.66667175292969
44	83.0	93.66667175292969
45	80.66667175292969	90.66667175292969
46	75.33333587646484	91.33333587646484
47	82.66667175292969	93.0
48	79.66667175292969	91.0
49	81.0	92.33333587646484
