epoch	prec1_B	prec5_B
0	6.0	8.666666984558105
1	12.666666984558105	20.0
2	16.0	27.33333396911621
3	22.666667938232422	32.0
4	28.666667938232422	48.0
5	28.0	43.333335876464844
6	30.0	48.0
7	33.333335876464844	60.0
8	45.333335876464844	61.333335876464844
9	48.66666793823242	72.0
10	56.0	72.66667175292969
11	53.333335876464844	70.0
12	61.333335876464844	78.0
13	62.0	77.33333587646484
14	67.33333587646484	81.33333587646484
15	62.66666793823242	78.66667175292969
16	70.66667175292969	84.66667175292969
17	66.0	78.66667175292969
18	73.33333587646484	84.66667175292969
19	68.0	80.0
20	80.66667175292969	88.0
21	80.0	86.66667175292969
22	76.66667175292969	86.0
23	76.66667175292969	92.0
24	81.33333587646484	88.66667175292969
25	75.33333587646484	88.66667175292969
26	72.0	84.0
27	78.0	88.0
28	81.33333587646484	90.66667175292969
29	86.66667175292969	94.0
30	80.0	90.66667175292969
31	78.0	90.66667175292969
32	85.33333587646484	92.0
33	82.0	94.0
34	86.66667175292969	91.33333587646484
35	86.66667175292969	93.33333587646484
36	84.66667175292969	92.0
37	89.33333587646484	96.0
38	88.0	93.33333587646484
39	82.0	93.33333587646484
40	84.0	92.0
41	82.66667175292969	92.0
42	89.33333587646484	92.66667175292969
43	82.0	92.66667175292969
44	78.0	89.33333587646484
45	85.33333587646484	94.66667175292969
46	84.66667175292969	91.33333587646484
47	88.0	96.66667175292969
48	84.0	93.33333587646484
49	86.66667175292969	93.33333587646484
