epoch	prec1_T	prec1_B
0	22.15909194946289	8.522727966308594
1	39.20454788208008	17.045455932617188
2	65.90909576416016	26.136363983154297
3	68.18182373046875	31.81818199157715
4	81.25	38.06818389892578
5	84.09091186523438	42.04545593261719
6	86.36363983154297	38.6363639831543
7	88.63636779785156	45.45454788208008
8	92.04545593261719	45.45454788208008
9	92.61363983154297	43.181819915771484
10	96.0227279663086	48.29545593261719
11	93.18182373046875	45.45454788208008
12	94.88636779785156	42.04545593261719
13	91.4772720336914	42.6136360168457
14	95.45455169677734	43.75
15	95.45455169677734	38.6363639831543
16	96.59091186523438	39.772727966308594
17	94.31818389892578	44.8863639831543
18	93.18182373046875	50.56818389892578
19	89.7727279663086	42.6136360168457
20	93.75	37.5
21	96.0227279663086	49.431819915771484
22	94.88636779785156	50.56818389892578
23	93.75	42.6136360168457
24	96.0227279663086	47.15909194946289
25	95.45455169677734	46.022727966308594
26	94.88636779785156	44.8863639831543
27	96.59091186523438	47.72727584838867
28	96.59091186523438	44.31818389892578
29	96.0227279663086	49.431819915771484
30	97.15909576416016	52.272727966308594
31	95.45455169677734	53.40909194946289
32	97.7272720336914	51.1363639831543
33	95.45455169677734	49.431819915771484
34	97.7272720336914	51.70454788208008
35	96.59091186523438	53.40909194946289
36	97.7272720336914	58.522727966308594
37	97.7272720336914	57.95454788208008
38	97.15909576416016	54.54545593261719
39	97.15909576416016	53.97727584838867
40	98.29545593261719	51.70454788208008
41	96.0227279663086	53.97727584838867
42	95.45455169677734	56.25
43	96.0227279663086	57.95454788208008
44	97.15909576416016	59.090911865234375
45	98.29545593261719	56.81818389892578
46	98.29545593261719	55.681819915771484
47	92.04545593261719	59.090911865234375
48	94.88636779785156	60.22727584838867
49	98.29545593261719	59.65909194946289
