epoch	prec1_T	prec5_T
0	15.340909957885742	31.25
1	30.681819915771484	57.95454788208008
2	44.8863639831543	76.13636779785156
3	52.840911865234375	80.68182373046875
4	65.34091186523438	85.79545593261719
5	65.34091186523438	84.09091186523438
6	73.29545593261719	92.04545593261719
7	73.29545593261719	89.7727279663086
8	75.0	90.34091186523438
9	78.40909576416016	91.4772720336914
10	83.5227279663086	96.0227279663086
11	80.68182373046875	94.31818389892578
12	82.95455169677734	93.18182373046875
13	82.95455169677734	96.0227279663086
14	87.5	97.15909576416016
15	85.2272720336914	95.45455169677734
16	89.7727279663086	96.59091186523438
17	87.5	96.0227279663086
18	88.06818389892578	96.0227279663086
19	91.4772720336914	96.59091186523438
20	88.63636779785156	96.59091186523438
21	92.04545593261719	95.45455169677734
22	93.18182373046875	98.86363983154297
23	90.34091186523438	96.59091186523438
24	93.75	96.59091186523438
25	92.04545593261719	98.29545593261719
26	95.45455169677734	98.86363983154297
27	94.31818389892578	98.29545593261719
28	94.31818389892578	98.29545593261719
29	95.45455169677734	99.43182373046875
30	97.15909576416016	98.29545593261719
31	96.59091186523438	100.0
32	94.88636779785156	97.15909576416016
33	94.88636779785156	98.86363983154297
34	92.61363983154297	97.7272720336914
35	98.29545593261719	98.86363983154297
36	98.86363983154297	100.0
37	98.86363983154297	99.43182373046875
38	98.29545593261719	100.0
39	98.86363983154297	100.0
40	99.43182373046875	100.0
41	96.0227279663086	99.43182373046875
42	96.59091186523438	99.43182373046875
43	97.7272720336914	98.29545593261719
44	97.15909576416016	100.0
45	96.0227279663086	100.0
46	98.86363983154297	100.0
47	96.59091186523438	98.86363983154297
48	97.15909576416016	99.43182373046875
49	98.29545593261719	99.43182373046875
